"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006M","B08201_006MA","B08201_006EA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010EA","B08201_010M","B08201_010MA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019M","B08201_019MA","B08201_019EA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028M","B08201_028MA","B08201_028EA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","942","null","84","null","40","21","null","null","261","48","null","null","383","null","72","null","158","38","null","null","100","28","null","null","242","null","50","null","24","null","17","null","153","40","null","null","54","null","22","null","9","11","null","null","2","null","4","null","393","null","60","null","2","4","null","null","67","null","26","null","194","52","null","null","92","32","null","null","38","null","16","null","169","48","null","null","3","5","null","null","18","null","12","null","72","39","null","null","40","21","null","null","36","null","18","null","138","39","null","null","11","15","null","null","23","null","18","null","63","25","null","null","17","15","null","null","24","null","15","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","680","null","70","null","7","7","null","null","142","51","null","null","225","null","57","null","159","56","null","null","147","42","null","null","165","null","59","null","6","null","6","null","75","42","null","null","57","null","31","null","8","7","null","null","19","null","15","null","228","null","48","null","0","123","null","null","30","null","24","null","108","35","null","null","58","34","null","null","32","null","14","null","98","35","null","null","1","4","null","null","3","null","4","null","33","23","null","null","33","18","null","null","28","null","20","null","189","46","null","null","0","123","null","null","34","null","20","null","27","20","null","null","60","32","null","null","68","null","37","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1635","null","131","null","30","34","null","null","358","122","null","null","793","null","138","null","260","105","null","null","194","84","null","null","112","null","68","null","0","null","123","null","49","46","null","null","63","null","56","null","0","123","null","null","0","null","123","null","431","null","121","null","0","123","null","null","58","null","47","null","263","102","null","null","57","42","null","null","53","null","43","null","257","87","null","null","0","123","null","null","97","null","68","null","59","43","null","null","64","51","null","null","37","null","34","null","835","134","null","null","30","34","null","null","154","null","97","null","408","123","null","null","139","79","null","null","104","null","66","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","946","null","113","null","39","34","null","null","366","105","null","null","355","null","117","null","107","40","null","null","79","52","null","null","191","null","74","null","20","null","24","null","171","71","null","null","0","null","123","null","0","123","null","null","0","null","123","null","285","null","80","null","12","16","null","null","52","null","30","null","118","63","null","null","81","36","null","null","22","null","30","null","168","109","null","null","7","15","null","null","79","null","87","null","75","69","null","null","7","15","null","null","0","null","123","null","302","84","null","null","0","123","null","null","64","null","41","null","162","80","null","null","19","29","null","null","57","null","46","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1396","null","137","null","60","65","null","null","336","127","null","null","602","null","165","null","351","102","null","null","47","47","null","null","143","null","79","null","27","null","41","null","80","53","null","null","21","null","26","null","15","24","null","null","0","null","123","null","377","null","139","null","0","123","null","null","45","null","62","null","258","116","null","null","74","52","null","null","0","null","123","null","331","107","null","null","0","123","null","null","87","null","57","null","140","90","null","null","104","67","null","null","0","null","123","null","545","133","null","null","33","50","null","null","124","null","90","null","183","95","null","null","158","76","null","null","47","null","47","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1554","null","111","null","0","123","null","null","313","81","null","null","695","null","100","null","343","89","null","null","203","77","null","null","324","null","79","null","0","null","123","null","162","52","null","null","107","null","46","null","29","23","null","null","26","null","40","null","671","null","98","null","0","123","null","null","94","null","49","null","372","78","null","null","160","51","null","null","45","null","43","null","253","67","null","null","0","123","null","null","35","null","31","null","76","40","null","null","91","55","null","null","51","null","41","null","306","66","null","null","0","123","null","null","22","null","23","null","140","56","null","null","63","29","null","null","81","null","42","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","1954","null","115","null","8","13","null","null","577","114","null","null","739","null","131","null","385","102","null","null","245","76","null","null","576","null","126","null","0","null","123","null","421","115","null","null","118","null","61","null","8","12","null","null","29","null","28","null","874","null","133","null","8","13","null","null","147","null","72","null","476","110","null","null","179","81","null","null","64","null","43","null","206","65","null","null","0","123","null","null","9","null","15","null","51","38","null","null","83","40","null","null","63","null","43","null","298","68","null","null","0","123","null","null","0","null","123","null","94","53","null","null","115","57","null","null","89","null","39","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1732","null","126","null","220","110","null","null","590","142","null","null","649","null","130","null","198","77","null","null","75","44","null","null","749","null","159","null","111","null","90","null","436","131","null","null","173","null","93","null","11","17","null","null","18","null","22","null","547","null","132","null","83","68","null","null","118","null","52","null","241","93","null","null","88","49","null","null","17","null","22","null","192","92","null","null","14","22","null","null","11","null","15","null","137","83","null","null","11","17","null","null","19","null","27","null","244","72","null","null","12","21","null","null","25","null","27","null","98","63","null","null","88","51","null","null","21","null","22","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","921","null","60","null","64","37","null","null","240","75","null","null","374","null","87","null","148","74","null","null","95","70","null","null","278","null","90","null","17","null","14","null","164","67","null","null","87","null","69","null","0","123","null","null","10","null","16","null","324","null","81","null","11","16","null","null","36","null","27","null","212","69","null","null","44","32","null","null","21","null","23","null","91","53","null","null","36","35","null","null","26","null","33","null","18","21","null","null","0","123","null","null","11","null","19","null","228","77","null","null","0","123","null","null","14","null","40","null","57","47","null","null","104","75","null","null","53","null","53","null",
