"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","979","null","87","null","70","46","null","null","220","null","47","null","412","null","64","null","171","null","37","null","106","null","35","null","271","70","null","null","49","null","42","null","148","39","null","null","66","26","null","null","8","null","10","null","0","12","null","null","337","56","null","null","10","null","12","null","53","23","null","null","187","47","null","null","62","22","null","null","25","15","null","null","199","null","46","null","3","5","null","null","3","5","null","null","73","null","28","null","72","null","32","null","48","26","null","null","172","43","null","null","8","13","null","null","16","null","14","null","86","null","35","null","29","16","null","null","33","17","null","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","634","null","64","null","10","7","null","null","145","null","61","null","228","null","51","null","135","null","45","null","116","null","35","null","213","67","null","null","9","null","7","null","111","63","null","null","46","28","null","null","27","null","25","null","20","15","null","null","192","45","null","null","0","null","12","null","15","11","null","null","86","35","null","null","48","21","null","null","43","20","null","null","79","null","34","null","1","3","null","null","8","10","null","null","34","null","23","null","20","null","15","null","16","17","null","null","150","42","null","null","0","12","null","null","11","null","10","null","62","null","30","null","40","23","null","null","37","26","null","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1898","null","101","null","6","10","null","null","346","null","135","null","880","null","184","null","357","null","130","null","309","null","126","null","188","93","null","null","0","null","17","null","61","40","null","null","127","84","null","null","0","null","17","null","0","17","null","null","492","117","null","null","6","null","10","null","79","56","null","null","283","100","null","null","81","49","null","null","43","37","null","null","344","null","122","null","0","17","null","null","146","96","null","null","62","null","52","null","65","null","61","null","71","81","null","null","874","128","null","null","0","17","null","null","60","null","67","null","408","null","148","null","211","107","null","null","195","116","null","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","855","null","90","null","99","48","null","null","313","null","86","null","236","null","100","null","110","null","49","null","97","null","55","null","192","64","null","null","75","null","47","null","113","53","null","null","4","7","null","null","0","null","12","null","0","12","null","null","255","73","null","null","11","null","19","null","62","37","null","null","96","57","null","null","57","38","null","null","29","32","null","null","76","null","51","null","10","11","null","null","26","35","null","null","29","null","30","null","6","null","10","null","5","8","null","null","332","90","null","null","3","11","null","null","112","null","58","null","107","null","75","null","47","29","null","null","63","44","null","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1356","null","112","null","71","59","null","null","354","null","101","null","515","null","135","null","320","null","97","null","96","null","57","null","175","81","null","null","44","null","47","null","84","56","null","null","28","26","null","null","19","null","29","null","0","12","null","null","267","87","null","null","0","null","12","null","64","37","null","null","125","72","null","null","60","44","null","null","18","14","null","null","251","null","86","null","0","12","null","null","144","75","null","null","35","null","33","null","72","null","49","null","0","12","null","null","663","110","null","null","27","41","null","null","62","null","50","null","327","null","112","null","169","68","null","null","78","56","null","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1553","null","112","null","0","12","null","null","235","null","59","null","758","null","108","null","309","null","74","null","251","null","67","null","333","75","null","null","0","null","12","null","164","53","null","null","119","48","null","null","26","null","26","null","24","29","null","null","713","83","null","null","0","null","12","null","39","29","null","null","387","79","null","null","204","63","null","null","83","44","null","null","168","null","63","null","0","12","null","null","7","14","null","null","80","null","48","null","24","null","21","null","57","40","null","null","339","69","null","null","0","12","null","null","25","null","23","null","172","null","58","null","55","25","null","null","87","42","null","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","1953","null","106","null","35","36","null","null","573","null","133","null","691","null","138","null","366","null","99","null","288","null","76","null","581","137","null","null","17","null","28","null","383","120","null","null","136","79","null","null","16","null","19","null","29","27","null","null","916","122","null","null","7","null","11","null","174","66","null","null","434","100","null","null","200","87","null","null","101","51","null","null","185","null","56","null","0","12","null","null","0","12","null","null","75","null","49","null","79","null","34","null","31","26","null","null","271","63","null","null","11","17","null","null","16","null","26","null","46","null","28","null","71","40","null","null","127","52","null","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1644","null","145","null","216","95","null","null","592","null","132","null","610","null","133","null","143","null","63","null","83","null","48","null","695","140","null","null","122","null","66","null","434","121","null","null","129","65","null","null","0","null","12","null","10","16","null","null","473","117","null","null","83","null","74","null","92","44","null","null","210","83","null","null","88","50","null","null","0","12","null","null","232","null","88","null","0","12","null","null","46","35","null","null","137","null","75","null","23","null","22","null","26","31","null","null","244","73","null","null","11","19","null","null","20","null","23","null","134","null","73","null","32","32","null","null","47","35","null","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","932","null","66","null","79","43","null","null","295","null","84","null","310","null","76","null","148","null","67","null","100","null","52","null","225","65","null","null","22","null","22","null","160","59","null","null","33","27","null","null","0","null","12","null","10","15","null","null","314","76","null","null","10","null","15","null","32","25","null","null","185","62","null","null","61","36","null","null","26","26","null","null","177","null","64","null","47","36","null","null","60","57","null","null","40","null","35","null","13","null","15","null","17","19","null","null","216","55","null","null","0","12","null","null","43","null","30","null","52","null","38","null","74","54","null","null","47","30","null","null",
"1400000US53003960500","Census Tract 9605, Asotin County, Washington","1598","null","113","null","164","71","null","null","644","null","124","null","543","null","123","null","167","null","73","null","80","null","45","null","648","131","null","null","157","null","70","null","361","106","null","null","75","46","null","null","43","null","42","null","12","19","null","null","488","119","null","null","7","null","11","null","150","75","null","null","231","84","null","null","87","53","null","null","13","20","null","null","247","null","83","null","0","12","null","null","89","43","null","null","114","null","74","null","37","null","34","null","7","11","null","null","215","69","null","null","0","12","null","null","44","null","42","null","123","null","64","null","0","12","null","null","48","31","null","null",
"1400000US53003960600","Census Tract 9606, Asotin County, Washington","1366","null","94","null","8","13","null","null","384","null","108","null","523","null","88","null","276","null","86","null","175","null","61","null","321","95","null","null","8","null","13","null","234","90","null","null","46","37","null","null","33","null","28","null","0","12","null","null","467","101","null","null","0","null","12","null","41","33","null","null","266","80","null","null","134","59","null","null","26","23","null","null","352","null","98","null","0","12","null","null","70","57","null","null","141","null","73","null","53","null","44","null","88","49","null","null","226","98","null","null","0","12","null","null","39","null","47","null","70","null","54","null","56","43","null","null","61","45","null","null",
"1400000US53005010100","Census Tract 101, Benton County, Washington","1852","null","58","null","47","39","null","null","454","null","111","null","768","null","107","null","425","null","80","null","158","null","66","null","447","99","null","null","33","null","32","null","294","91","null","null","90","51","null","null","8","null","12","null","22","33","null","null","834","123","null","null","14","null","23","null","99","51","null","null","449","95","null","null","213","65","null","null","59","34","null","null","198","null","71","null","0","12","null","null","21","22","null","null","76","null","49","null","79","null","47","null","22","23","null","null","373","74","null","null","0","12","null","null","40","null","57","null","153","null","52","null","125","54","null","null","55","35","null","null",
"1400000US53005010201","Census Tract 102.01, Benton County, Washington","1690","null","105","null","145","51","null","null","462","null","109","null","665","null","122","null","273","null","68","null","145","null","56","null","468","94","null","null","119","null","45","null","225","76","null","null","117","55","null","null","0","null","12","null","7","11","null","null","699","102","null","null","12","null","24","null","120","53","null","null","381","99","null","null","143","50","null","null","43","40","null","null","194","null","90","null","0","12","null","null","66","56","null","null","63","null","44","null","55","null","36","null","10","17","null","null","329","77","null","null","14","21","null","null","51","null","48","null","104","null","53","null","75","42","null","null","85","38","null","null",
"1400000US53005010202","Census Tract 102.02, Benton County, Washington","2694","null","158","null","348","128","null","null","1217","null","245","null","872","null","170","null","203","null","84","null","54","null","37","null","1158","188","null","null","246","null","115","null","754","203","null","null","151","79","null","null","7","null","12","null","0","17","null","null","815","175","null","null","89","null","61","null","190","106","null","null","465","125","null","null","41","40","null","null","30","34","null","null","411","null","141","null","13","20","null","null","195","124","null","null","91","null","61","null","104","null","64","null","8","14","null","null","310","96","null","null","0","17","null","null","78","null","54","null","165","null","84","null","51","35","null","null","16","25","null","null",
"1400000US53005010300","Census Tract 103, Benton County, Washington","2303","null","117","null","11","18","null","null","783","null","209","null","1036","null","190","null","364","null","115","null","109","null","55","null","762","173","null","null","11","null","18","null","493","172","null","null","216","122","null","null","31","null","37","null","11","18","null","null","861","182","null","null","0","null","17","null","134","80","null","null","555","157","null","null","134","71","null","null","38","37","null","null","157","null","84","null","0","17","null","null","31","36","null","null","72","null","53","null","54","null","63","null","0","17","null","null","523","102","null","null","0","17","null","null","125","null","94","null","193","null","80","null","145","83","null","null","60","42","null","null",
"1400000US53005010400","Census Tract 104, Benton County, Washington","1527","null","78","null","99","52","null","null","620","null","106","null","519","null","113","null","178","null","74","null","111","null","48","null","464","104","null","null","35","null","33","null","320","94","null","null","63","36","null","null","23","null","22","null","23","25","null","null","552","102","null","null","58","null","46","null","182","69","null","null","276","95","null","null","28","26","null","null","8","14","null","null","286","null","82","null","6","11","null","null","49","45","null","null","123","null","64","null","65","null","53","null","43","30","null","null","225","49","null","null","0","12","null","null","69","null","49","null","57","null","51","null","62","45","null","null","37","33","null","null",
