"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028M","B08201_028MA","B08201_028EA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","1003","null","75","null","76","47","null","null","247","51","null","null","393","null","69","null","189","54","null","null","98","null","34","null","322","null","73","null","56","42","null","null","165","null","48","null","91","36","null","null","10","11","null","null","0","12","null","null","382","64","null","null","11","13","null","null","59","null","24","null","194","null","53","null","89","33","null","null","29","14","null","null","137","null","55","null","0","null","12","null","3","null","5","null","35","18","null","null","60","38","null","null","39","29","null","null","162","38","null","null","9","null","14","null","20","null","19","null","73","32","null","null","30","20","null","null","30","18","null","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","659","null","63","null","8","6","null","null","137","51","null","null","219","null","53","null","195","62","null","null","100","null","42","null","140","null","57","null","8","6","null","null","78","null","49","null","15","10","null","null","35","28","null","null","4","7","null","null","255","49","null","null","0","12","null","null","29","null","18","null","119","null","49","null","55","24","null","null","52","25","null","null","121","null","59","null","0","null","12","null","19","null","15","null","31","20","null","null","54","52","null","null","17","15","null","null","143","48","null","null","0","null","12","null","11","null","11","null","54","20","null","null","51","30","null","null","27","23","null","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1822","null","117","null","3","7","null","null","251","80","null","null","942","null","164","null","359","114","null","null","267","null","112","null","186","null","95","null","0","17","null","null","58","null","43","null","128","83","null","null","0","17","null","null","0","17","null","null","468","122","null","null","3","7","null","null","87","null","54","null","278","null","97","null","45","37","null","null","55","40","null","null","276","null","116","null","0","null","17","null","74","null","56","null","113","72","null","null","57","50","null","null","32","46","null","null","892","127","null","null","0","null","17","null","32","null","30","null","423","147","null","null","257","99","null","null","180","88","null","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","908","null","69","null","136","66","null","null","295","79","null","null","291","null","82","null","108","53","null","null","78","null","42","null","208","null","74","null","56","40","null","null","125","null","67","null","27","34","null","null","0","12","null","null","0","12","null","null","251","76","null","null","49","40","null","null","80","null","43","null","84","null","47","null","18","24","null","null","20","23","null","null","70","null","40","null","13","null","13","null","18","null","25","null","24","23","null","null","5","8","null","null","10","11","null","null","379","68","null","null","18","null","29","null","72","null","43","null","156","71","null","null","85","44","null","null","48","31","null","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1346","null","94","null","54","44","null","null","332","102","null","null","535","null","128","null","359","106","null","null","66","null","40","null","165","null","71","null","18","26","null","null","97","null","57","null","31","27","null","null","19","27","null","null","0","12","null","null","308","88","null","null","9","15","null","null","69","null","41","null","114","null","56","null","87","54","null","null","29","21","null","null","184","null","78","null","0","null","12","null","111","null","72","null","25","28","null","null","48","33","null","null","0","12","null","null","689","108","null","null","27","null","38","null","55","null","46","null","365","118","null","null","205","85","null","null","37","34","null","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1620","null","115","null","9","14","null","null","275","81","null","null","737","null","109","null","346","86","null","null","253","null","79","null","358","null","86","null","9","14","null","null","161","null","54","null","133","49","null","null","32","30","null","null","23","31","null","null","747","102","null","null","0","12","null","null","87","null","48","null","378","null","89","null","203","70","null","null","79","45","null","null","121","null","54","null","0","null","12","null","7","null","11","null","41","30","null","null","32","23","null","null","41","41","null","null","394","82","null","null","0","null","12","null","20","null","24","null","185","60","null","null","79","38","null","null","110","46","null","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","1996","null","109","null","66","50","null","null","527","117","null","null","664","null","123","null","430","117","null","null","309","null","88","null","582","null","114","null","48","45","null","null","343","null","91","null","147","88","null","null","8","12","null","null","36","35","null","null","891","112","null","null","9","15","null","null","136","null","64","null","392","null","94","null","266","105","null","null","88","49","null","null","247","null","84","null","0","null","12","null","30","null","39","null","85","54","null","null","107","57","null","null","25","28","null","null","276","64","null","null","9","null","14","null","18","null","27","null","40","33","null","null","49","41","null","null","160","57","null","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1499","null","126","null","202","88","null","null","640","128","null","null","491","null","117","null","97","43","null","null","69","null","37","null","661","null","115","null","142","66","null","null","409","null","104","null","102","57","null","null","0","12","null","null","8","13","null","null","394","101","null","null","45","54","null","null","121","null","63","null","180","null","61","null","48","35","null","null","0","12","null","null","195","null","90","null","0","null","12","null","82","null","63","null","76","55","null","null","26","26","null","null","11","18","null","null","249","81","null","null","15","null","23","null","28","null","25","null","133","83","null","null","23","22","null","null","50","31","null","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","954","null","78","null","58","38","null","null","331","87","null","null","334","null","87","null","142","62","null","null","89","null","51","null","296","null","79","null","23","22","null","null","223","null","75","null","38","28","null","null","0","12","null","null","12","18","null","null","318","63","null","null","9","15","null","null","48","null","31","null","190","null","59","null","57","33","null","null","14","15","null","null","135","null","69","null","26","null","28","null","35","null","40","null","34","37","null","null","20","20","null","null","20","25","null","null","205","56","null","null","0","null","12","null","25","null","21","null","72","48","null","null","65","48","null","null","43","34","null","null",
