"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006M","B08201_006MA","B08201_006EA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019M","B08201_019MA","B08201_019EA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","989","null","77","null","54","28","null","null","281","null","57","null","363","null","66","null","193","null","46","null","98","38","null","null","348","66","null","null","32","22","null","null","181","null","48","null","94","45","null","null","36","26","null","null","5","7","null","null","368","50","null","null","22","null","17","null","77","24","null","null","152","null","37","null","87","null","32","null","30","18","null","null","96","40","null","null","0","12","null","null","7","12","null","null","43","null","24","null","26","20","null","null","20","18","null","null","177","37","null","null","0","12","null","null","16","null","12","null","74","null","33","null","44","28","null","null","43","28","null","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","634","null","63","null","11","8","null","null","135","null","36","null","238","null","50","null","161","null","41","null","89","32","null","null","147","44","null","null","9","6","null","null","69","null","26","null","31","18","null","null","28","21","null","null","10","13","null","null","251","40","null","null","2","null","3","null","34","17","null","null","124","null","39","null","37","null","14","null","54","25","null","null","97","44","null","null","0","12","null","null","19","14","null","null","27","null","16","null","44","39","null","null","7","5","null","null","139","44","null","null","0","12","null","null","13","null","15","null","56","null","23","null","52","28","null","null","18","16","null","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1895","null","113","null","64","52","null","null","344","null","124","null","728","null","146","null","442","null","119","null","317","100","null","null","217","99","null","null","0","17","null","null","106","null","63","null","104","74","null","null","0","17","null","null","7","10","null","null","443","109","null","null","39","null","35","null","128","72","null","null","172","null","63","null","88","null","47","null","16","19","null","null","251","119","null","null","0","17","null","null","56","55","null","null","112","null","68","null","64","60","null","null","19","22","null","null","984","147","null","null","25","36","null","null","54","null","46","null","340","null","120","null","290","105","null","null","275","90","null","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","890","null","83","null","120","55","null","null","268","null","83","null","287","null","63","null","118","null","53","null","97","42","null","null","196","65","null","null","58","30","null","null","105","null","49","null","28","36","null","null","5","7","null","null","0","12","null","null","212","65","null","null","39","null","39","null","79","46","null","null","85","null","33","null","3","null","6","null","6","10","null","null","61","34","null","null","6","8","null","null","24","25","null","null","16","null","14","null","4","7","null","null","11","13","null","null","421","68","null","null","17","22","null","null","60","null","46","null","158","null","50","null","106","53","null","null","80","42","null","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1394","null","98","null","20","21","null","null","297","null","107","null","633","null","149","null","369","null","107","null","75","43","null","null","153","81","null","null","10","17","null","null","60","null","45","null","74","63","null","null","9","16","null","null","0","12","null","null","366","95","null","null","10","null","14","null","72","42","null","null","157","null","73","null","98","null","64","null","29","22","null","null","234","98","null","null","0","12","null","null","123","92","null","null","53","null","47","null","45","34","null","null","13","19","null","null","641","91","null","null","0","12","null","null","42","null","38","null","349","null","107","null","217","80","null","null","33","29","null","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1700","null","119","null","13","16","null","null","262","null","67","null","849","null","120","null","370","null","103","null","206","59","null","null","291","78","null","null","11","16","null","null","152","null","56","null","116","52","null","null","7","8","null","null","5","7","null","null","933","105","null","null","0","null","12","null","86","44","null","null","478","null","93","null","254","null","87","null","115","55","null","null","107","39","null","null","0","12","null","null","6","9","null","null","39","null","26","null","47","30","null","null","15","16","null","null","369","83","null","null","2","3","null","null","18","null","21","null","216","null","69","null","62","36","null","null","71","37","null","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","2128","null","83","null","60","51","null","null","543","null","144","null","868","null","189","null","346","null","116","null","311","118","null","null","570","127","null","null","49","45","null","null","313","null","117","null","154","103","null","null","6","10","null","null","48","72","null","null","1088","128","null","null","0","null","12","null","179","91","null","null","563","null","154","null","191","null","86","null","155","77","null","null","156","83","null","null","0","12","null","null","31","39","null","null","47","null","53","null","65","49","null","null","13","21","null","null","314","88","null","null","11","21","null","null","20","null","31","null","104","null","67","null","84","72","null","null","95","57","null","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1510","null","129","null","212","86","null","null","571","null","151","null","578","null","120","null","91","null","47","null","58","41","null","null","645","134","null","null","183","91","null","null","353","null","105","null","99","58","null","null","0","12","null","null","10","19","null","null","447","127","null","null","29","null","35","null","126","84","null","null","226","null","94","null","56","null","37","null","10","14","null","null","213","90","null","null","0","12","null","null","66","53","null","null","110","null","65","null","28","25","null","null","9","15","null","null","205","82","null","null","0","12","null","null","26","null","24","null","143","null","71","null","7","13","null","null","29","28","null","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","978","null","70","null","44","32","null","null","355","null","83","null","323","null","67","null","190","null","58","null","66","53","null","null","310","59","null","null","20","16","null","null","205","null","57","null","85","38","null","null","0","12","null","null","0","12","null","null","326","65","null","null","5","null","8","null","57","31","null","null","157","null","44","null","103","null","44","null","4","7","null","null","212","79","null","null","19","27","null","null","55","42","null","null","49","null","41","null","48","31","null","null","41","49","null","null","130","40","null","null","0","12","null","null","38","null","30","null","32","null","24","null","39","24","null","null","21","20","null","null",
