"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","990","63","null","null","47","null","19","null","267","null","62","null","382","69","null","null","185","54","null","null","109","null","38","null","338","null","64","null","24","null","14","null","162","49","null","null","116","41","null","null","31","26","null","null","5","null","7","null","374","null","50","null","19","null","12","null","81","25","null","null","152","null","32","null","94","null","34","null","28","null","15","null","96","null","31","null","0","12","null","null","7","null","12","null","48","24","null","null","19","null","17","null","22","null","17","null","182","null","35","null","4","null","7","null","17","11","null","null","66","null","33","null","41","null","28","null","54","null","30","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","648","57","null","null","8","null","6","null","147","null","39","null","204","47","null","null","186","52","null","null","103","null","39","null","149","null","44","null","6","null","5","null","64","25","null","null","31","20","null","null","35","22","null","null","13","null","15","null","252","null","48","null","2","null","3","null","42","20","null","null","112","null","40","null","44","null","17","null","52","null","28","null","114","null","43","null","0","12","null","null","18","null","16","null","27","16","null","null","49","null","45","null","20","null","17","null","133","null","40","null","0","null","12","null","23","18","null","null","34","null","18","null","58","null","29","null","18","null","12","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1747","139","null","null","80","null","64","null","308","null","116","null","597","112","null","null","491","107","null","null","271","null","80","null","178","null","82","null","0","null","17","null","98","63","null","null","50","40","null","null","20","29","null","null","10","null","13","null","409","null","101","null","54","null","53","null","119","75","null","null","128","null","48","null","73","null","48","null","35","null","28","null","300","null","130","null","3","6","null","null","47","null","49","null","102","70","null","null","99","null","76","null","49","null","46","null","860","null","103","null","23","null","34","null","44","45","null","null","317","null","93","null","299","null","94","null","177","null","67","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","949","103","null","null","120","null","40","null","309","null","90","null","321","93","null","null","123","61","null","null","76","null","45","null","230","null","88","null","40","null","21","null","141","73","null","null","42","53","null","null","7","10","null","null","0","null","12","null","219","null","74","null","25","null","23","null","84","50","null","null","106","null","41","null","4","null","8","null","0","null","12","null","67","null","41","null","12","15","null","null","29","null","34","null","8","9","null","null","10","null","12","null","8","null","13","null","433","null","81","null","43","null","41","null","55","45","null","null","165","null","51","null","102","null","58","null","68","null","45","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1399","95","null","null","11","null","18","null","258","null","121","null","602","135","null","null","374","111","null","null","154","null","86","null","174","null","89","null","0","null","12","null","64","50","null","null","67","54","null","null","7","12","null","null","36","null","57","null","391","null","86","null","11","null","18","null","68","41","null","null","204","null","77","null","87","null","56","null","21","null","24","null","242","null","131","null","0","12","null","null","104","null","96","null","79","68","null","null","43","null","31","null","16","null","25","null","592","null","101","null","0","null","12","null","22","30","null","null","252","null","94","null","237","null","94","null","81","null","58","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1670","106","null","null","14","null","18","null","270","null","86","null","856","135","null","null","354","112","null","null","176","null","57","null","316","null","94","null","11","null","17","null","169","71","null","null","121","49","null","null","15","18","null","null","0","null","12","null","902","null","106","null","0","null","12","null","89","46","null","null","476","null","102","null","247","null","93","null","90","null","45","null","121","null","46","null","0","12","null","null","6","null","11","null","52","33","null","null","42","null","27","null","21","null","18","null","331","null","86","null","3","null","5","null","6","10","null","null","207","null","74","null","50","null","32","null","65","null","32","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","2137","114","null","null","68","null","58","null","488","null","137","null","830","176","null","null","450","149","null","null","301","null","136","null","543","null","136","null","28","null","34","null","324","123","null","null","128","82","null","null","6","10","null","null","57","null","66","null","1109","null","149","null","19","null","30","null","139","78","null","null","552","null","148","null","251","null","100","null","148","null","89","null","114","null","75","null","0","12","null","null","22","null","26","null","36","45","null","null","54","null","46","null","2","null","13","null","371","null","91","null","21","null","37","null","3","11","null","null","114","null","67","null","139","null","101","null","94","null","81","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1580","114","null","null","210","null","95","null","554","null","120","null","578","131","null","null","131","88","null","null","107","null","69","null","700","null","126","null","175","null","89","null","359","100","null","null","140","75","null","null","26","41","null","null","0","null","12","null","467","null","130","null","26","null","37","null","132","84","null","null","231","null","89","null","28","null","25","null","50","null","53","null","185","null","89","null","9","14","null","null","57","null","46","null","89","61","null","null","22","null","24","null","8","null","13","null","228","null","100","null","0","null","12","null","6","11","null","null","118","null","56","null","55","null","69","null","49","null","37","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","957","53","null","null","70","null","41","null","363","null","74","null","313","78","null","null","165","57","null","null","46","null","42","null","298","null","64","null","29","null","18","null","193","54","null","null","76","44","null","null","0","12","null","null","0","null","12","null","366","null","74","null","26","null","27","null","78","40","null","null","181","null","45","null","77","null","47","null","4","null","6","null","157","null","70","null","15","22","null","null","52","null","45","null","19","17","null","null","39","null","32","null","32","null","39","null","136","null","39","null","0","null","12","null","40","30","null","null","37","null","26","null","49","null","28","null","10","null","12","null",
