"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!No vehicle available","Annotation of Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Annotation of Margin of Error!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Annotation of Margin of Error!!Total!!1 vehicle available","Annotation of Estimate!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Annotation of Margin of Error!!Total!!2 vehicles available","Annotation of Estimate!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Annotation of Margin of Error!!Total!!3 vehicles available","Annotation of Estimate!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Annotation of Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Annotation of Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Annotation of Margin of Error!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Margin of Error!!Total!!1-person household!!No vehicle available","Annotation of Estimate!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Annotation of Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!2 vehicles available","Annotation of Estimate!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Annotation of Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Annotation of Margin of Error!!Total!!2-person household","Annotation of Estimate!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Margin of Error!!Total!!2-person household!!No vehicle available","Annotation of Estimate!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!2-person household!!1 vehicle available","Annotation of Estimate!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!2 vehicles available","Annotation of Estimate!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!2-person household!!3 vehicles available","Annotation of Estimate!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Annotation of Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Annotation of Margin of Error!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Annotation of Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Annotation of Margin of Error!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!3-person household!!1 vehicle available","Annotation of Estimate!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!2 vehicles available","Annotation of Estimate!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Annotation of Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Annotation of Margin of Error!!Total!!4-or-more-person household","Annotation of Estimate!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Annotation of Estimate!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available","Annotation of Estimate!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","1036","null","68","null","81","null","40","null","311","61","null","null","325","56","null","null","169","42","null","null","150","null","42","null","395","null","62","null","60","39","null","null","184","null","45","null","108","40","null","null","27","null","24","null","16","null","13","null","378","44","null","null","18","11","null","null","77","25","null","null","139","39","null","null","94","30","null","null","50","null","22","null","84","null","30","null","0","null","12","null","24","24","null","null","35","20","null","null","11","null","9","null","14","null","11","null","179","36","null","null","3","6","null","null","26","19","null","null","43","null","23","null","37","null","26","null","70","39","null","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","639","null","53","null","6","null","6","null","153","40","null","null","207","49","null","null","176","53","null","null","97","null","38","null","149","null","36","null","5","5","null","null","75","null","28","null","29","19","null","null","27","null","21","null","13","null","15","null","256","47","null","null","1","3","null","null","39","21","null","null","120","38","null","null","45","18","null","null","51","null","31","null","97","null","40","null","0","null","12","null","12","12","null","null","18","12","null","null","52","null","44","null","15","null","14","null","137","42","null","null","0","12","null","null","27","20","null","null","40","null","23","null","52","null","30","null","18","11","null","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1741","null","120","null","81","null","62","null","342","130","null","null","510","98","null","null","531","115","null","null","277","null","76","null","204","null","89","null","9","15","null","null","105","null","68","null","51","43","null","null","29","null","35","null","10","null","13","null","401","118","null","null","49","56","null","null","121","85","null","null","119","38","null","null","66","42","null","null","46","null","32","null","262","null","84","null","3","null","6","null","48","49","null","null","91","66","null","null","78","null","52","null","42","null","41","null","874","104","null","null","20","30","null","null","68","55","null","null","249","null","84","null","358","null","89","null","179","71","null","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","994","null","89","null","111","null","49","null","332","104","null","null","322","80","null","null","147","65","null","null","82","null","44","null","257","null","88","null","62","40","null","null","153","null","73","null","36","41","null","null","6","null","8","null","0","null","12","null","212","73","null","null","16","15","null","null","60","53","null","null","119","50","null","null","4","6","null","null","13","null","16","null","116","null","72","null","5","null","7","null","74","63","null","null","8","9","null","null","11","null","13","null","18","null","21","null","409","91","null","null","28","26","null","null","45","46","null","null","159","null","66","null","126","null","64","null","51","38","null","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1414","null","108","null","14","null","22","null","230","92","null","null","655","143","null","null","323","109","null","null","192","null","102","null","195","null","94","null","0","17","null","null","70","null","55","null","74","65","null","null","8","null","12","null","43","null","63","null","387","102","null","null","14","22","null","null","45","34","null","null","210","83","null","null","105","76","null","null","13","null","20","null","228","null","107","null","0","null","17","null","89","66","null","null","95","80","null","null","32","null","29","null","12","null","21","null","604","132","null","null","0","17","null","null","26","35","null","null","276","null","113","null","178","null","76","null","124","76","null","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1666","null","105","null","12","null","15","null","288","73","null","null","811","115","null","null","365","88","null","null","190","null","74","null","310","null","72","null","10","15","null","null","185","null","57","null","100","49","null","null","15","null","18","null","0","null","12","null","915","120","null","null","0","12","null","null","96","50","null","null","499","87","null","null","234","76","null","null","86","null","44","null","133","null","57","null","0","null","12","null","0","12","null","null","47","34","null","null","71","null","43","null","15","null","17","null","308","78","null","null","2","3","null","null","7","11","null","null","165","null","68","null","45","null","35","null","89","51","null","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","2156","null","107","null","48","null","47","null","469","136","null","null","934","179","null","null","427","140","null","null","278","null","125","null","578","null","154","null","27","33","null","null","332","null","125","null","155","97","null","null","0","null","17","null","64","null","74","null","1070","152","null","null","21","34","null","null","111","73","null","null","607","155","null","null","194","98","null","null","137","null","88","null","193","null","82","null","0","null","17","null","25","29","null","null","58","48","null","null","94","null","60","null","16","null","25","null","315","103","null","null","0","17","null","null","1","14","null","null","114","null","76","null","139","null","86","null","61","76","null","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1560","null","132","null","176","null","90","null","533","142","null","null","574","122","null","null","158","103","null","null","119","null","70","null","601","null","130","null","136","83","null","null","281","null","103","null","157","75","null","null","21","null","33","null","6","null","9","null","515","144","null","null","30","34","null","null","168","89","null","null","227","95","null","null","25","20","null","null","65","null","62","null","238","null","89","null","10","null","16","null","50","43","null","null","112","70","null","null","47","null","41","null","19","null","21","null","206","108","null","null","0","12","null","null","34","47","null","null","78","null","47","null","65","null","95","null","29","22","null","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","977","null","69","null","54","null","38","null","352","76","null","null","348","71","null","null","178","67","null","null","45","null","46","null","307","null","81","null","23","18","null","null","209","null","70","null","70","40","null","null","0","null","12","null","5","null","7","null","423","89","null","null","31","35","null","null","87","40","null","null","199","50","null","null","98","49","null","null","8","null","9","null","145","null","66","null","0","null","12","null","44","32","null","null","39","24","null","null","33","null","31","null","29","null","44","null","102","33","null","null","0","12","null","null","12","12","null","null","40","null","25","null","47","null","37","null","3","6","null","null",
