"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010EA","B08201_010M","B08201_010MA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Annotation of Margin of Error!!Total:!!No vehicle available","Annotation of Estimate!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Annotation of Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Annotation of Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Annotation of Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Annotation of Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Annotation of Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Annotation of Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Annotation of Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Annotation of Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Annotation of Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Annotation of Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Annotation of Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Annotation of Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Annotation of Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Annotation of Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Annotation of Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Annotation of Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Annotation of Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Annotation of Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Annotation of Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Annotation of Estimate!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Annotation of Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Annotation of Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Annotation of Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Annotation of Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Annotation of Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Annotation of Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Annotation of Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Annotation of Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Annotation of Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Annotation of Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Annotation of Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Annotation of Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Annotation of Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Annotation of Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Annotation of Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Annotation of Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Annotation of Margin of Error!!Total:!!3-person household:!!1 vehicle available","Annotation of Estimate!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Annotation of Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Annotation of Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Annotation of Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Annotation of Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Annotation of Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Annotation of Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Annotation of Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Annotation of Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Annotation of Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Annotation of Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Annotation of Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Annotation of Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Annotation of Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","1050","86","null","null","91","39","null","null","303","null","53","null","376","null","58","null","165","null","40","null","115","null","39","null","373","null","57","null","72","null","38","null","175","null","39","null","107","null","37","null","9","null","10","null","10","10","null","null","336","null","47","null","5","null","6","null","78","null","33","null","132","null","34","null","86","null","26","null","35","null","23","null","113","null","42","null","10","null","10","null","27","23","null","null","53","null","33","null","16","null","14","null","7","null","9","null","228","null","48","null","4","null","6","null","23","null","17","null","84","null","33","null","54","null","25","null","63","null","33","null",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","615","57","null","null","9","10","null","null","115","null","38","null","185","null","45","null","197","null","50","null","109","null","40","null","135","null","40","null","9","null","10","null","66","null","33","null","24","null","13","null","29","null","24","null","7","7","null","null","278","null","60","null","0","null","12","null","36","null","20","null","100","null","35","null","85","null","35","null","57","null","26","null","58","null","27","null","0","null","12","null","1","2","null","null","26","null","19","null","16","null","12","null","15","null","15","null","144","null","47","null","0","null","12","null","12","null","14","null","35","null","21","null","67","null","34","null","30","null","24","null",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1655","113","null","null","92","69","null","null","274","null","116","null","451","null","130","null","605","null","106","null","233","null","93","null","147","null","73","null","18","null","20","null","86","null","65","null","13","null","16","null","17","null","25","null","13","15","null","null","385","null","115","null","70","null","65","null","50","null","51","null","106","null","62","null","129","null","76","null","30","null","28","null","261","null","104","null","4","null","7","null","44","46","null","null","113","null","83","null","70","null","42","null","30","null","34","null","862","null","123","null","0","null","17","null","94","null","80","null","219","null","90","null","389","null","98","null","160","null","80","null",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","974","88","null","null","143","69","null","null","268","null","119","null","273","null","89","null","186","null","63","null","104","null","54","null","261","null","119","null","84","null","49","null","166","null","107","null","11","null","15","null","0","null","12","null","0","12","null","null","239","null","82","null","37","null","55","null","22","null","20","null","121","null","50","null","44","null","33","null","15","null","16","null","126","null","73","null","7","null","11","null","64","59","null","null","9","null","15","null","27","null","21","null","19","null","30","null","348","null","75","null","15","null","25","null","16","null","26","null","132","null","68","null","115","null","55","null","70","null","41","null",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1679","142","null","null","25","32","null","null","362","null","144","null","785","null","140","null","266","null","120","null","241","null","140","null","226","null","116","null","15","null","24","null","112","null","86","null","40","null","35","null","14","null","23","null","45","67","null","null","501","null","112","null","0","null","17","null","38","null","36","null","341","null","103","null","81","null","53","null","41","null","58","null","327","null","149","null","0","null","17","null","154","112","null","null","151","null","91","null","0","null","17","null","22","null","27","null","625","null","121","null","10","null","17","null","58","null","58","null","253","null","92","null","171","null","100","null","133","null","91","null",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1706","129","null","null","18","20","null","null","255","null","89","null","811","null","144","null","412","null","106","null","210","null","78","null","350","null","107","null","18","null","20","null","202","null","91","null","111","null","51","null","19","null","22","null","0","12","null","null","851","null","142","null","0","null","12","null","41","null","30","null","436","null","100","null","285","null","100","null","89","null","50","null","142","null","64","null","0","null","12","null","1","6","null","null","55","null","36","null","42","null","38","null","44","null","38","null","363","null","99","null","0","null","12","null","11","null","13","null","209","null","107","null","66","null","46","null","77","null","50","null",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","2045","123","null","null","11","18","null","null","549","null","177","null","880","null","176","null","361","null","120","null","244","null","121","null","443","null","137","null","0","null","12","null","286","null","116","null","125","null","82","null","19","null","31","null","13","20","null","null","1160","null","145","null","11","null","18","null","226","null","123","null","649","null","153","null","164","null","95","null","110","null","60","null","175","null","89","null","0","null","12","null","13","22","null","null","13","null","20","null","72","null","49","null","77","null","65","null","267","null","84","null","0","null","12","null","24","null","32","null","93","null","67","null","106","null","71","null","44","null","69","null",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1433","136","null","null","95","51","null","null","432","null","135","null","519","null","129","null","197","null","77","null","190","null","79","null","491","null","124","null","44","null","35","null","277","null","104","null","139","null","78","null","15","null","23","null","16","14","null","null","408","null","108","null","39","null","35","null","86","null","74","null","178","null","72","null","41","null","29","null","64","null","51","null","226","null","89","null","12","null","19","null","23","22","null","null","92","null","65","null","80","null","59","null","19","null","22","null","308","null","81","null","0","null","12","null","46","null","51","null","110","null","53","null","61","null","51","null","91","null","60","null",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","954","74","null","null","78","52","null","null","375","null","81","null","317","null","80","null","146","null","51","null","38","null","24","null","265","null","65","null","17","null","14","null","210","null","61","null","33","null","20","null","0","null","12","null","5","7","null","null","423","null","86","null","61","null","51","null","90","null","44","null","194","null","73","null","63","null","29","null","15","null","14","null","97","null","46","null","0","null","12","null","32","31","null","null","41","null","26","null","12","null","12","null","12","null","17","null","169","null","44","null","0","null","12","null","43","null","28","null","49","null","36","null","71","null","35","null","6","null","9","null",
